state,district,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
AK,AK-00,56077160.03,29229221.82,33330423.97
AL,AL-01,86124.00,0.00,0.00
AL,AL-02,1099923.58,800100.00,332782.64
AL,AL-03,4075613.17,8530363.81,2406129.85
AL,AL-04,5185791.00,1129814.00,381197.00
AL,AL-05,1916574617.18,1902549280.15,1993934498.16
AL,AL-06,110371.83,20053.00,13204.72
AL,AL-07,7009680.19,6914809.33,8090339.96
AR,AR-01,0.00,0.00,0.00
AR,AR-02,1072313.23,1950151.58,1099697.34
AR,AR-03,1227148.54,199616.00,664084.20
AR,AR-04,390.00,149998.00,0.00
AS,AS-00,0.00,0.00,0.00
AZ,AZ-01,7913568.23,1200811.71,1403932.84
AZ,AZ-02,5888794.73,7164839.29,31140233.19
AZ,AZ-03,2625089.26,3486960.31,1496183.99
AZ,AZ-04,39404745.57,35898745.60,42479025.17
AZ,AZ-05,29664621.41,19150909.58,16388447.40
AZ,AZ-06,5163416.00,1220399.00,504046.13
AZ,AZ-07,78077194.29,50813807.72,87906138.04
AZ,AZ-08,6799784.38,5302593.90,544641.64
AZ,AZ-09,0.00,44101.00,94700.00
CA,CA-01,923166.50,97196.00,651704.00
CA,CA-02,724043.37,381809.04,1380895.18
CA,CA-03,70332.50,32844.00,111389.15
CA,CA-04,15386125.78,5992479.81,4736026.62
CA,CA-05,313553.65,337279.60,251365.20
CA,CA-06,0.00,190916.50,0.00
CA,CA-07,183905.00,53508.70,32500.00
CA,CA-08,1093227.93,-8925.87,190788.76
CA,CA-09,-7801.74,98730.00,165158.00
CA,CA-10,426147.14,1176894.38,382471.01
CA,CA-11,38581050.15,4214826.82,3550898.19
CA,CA-12,77893060.99,54964485.06,114200897.68
CA,CA-13,502641.76,55881.00,401384.50
CA,CA-14,2907499.81,4136643.32,554402.94
CA,CA-15,2611901.09,2390397.80,1865849.29
CA,CA-16,272451745.70,418710574.06,312349920.10
CA,CA-17,18911535.47,16758076.03,28858941.29
CA,CA-18,324514810.86,262323696.89,168818205.62
CA,CA-19,5381995.37,3900966.15,3892116.62
CA,CA-20,111129109.31,73938763.66,105507796.18
CA,CA-21,0.00,0.00,0.00
CA,CA-22,0.00,0.00,0.00
CA,CA-23,4611513.98,7371734.85,7782975.80
CA,CA-24,9684503.69,14462953.55,8859361.57
CA,CA-25,0.00,0.00,-352790.19
CA,CA-26,4507006.80,2074350.32,4815280.59
CA,CA-27,22779827.79,51822844.16,28858846.06
CA,CA-28,2818188682.82,2262744258.43,2411235034.93
CA,CA-29,1484645.20,1228640.00,4434398.55
CA,CA-30,44213319.46,15155868.61,21560237.83
CA,CA-31,25534096.79,14770249.64,3171593.16
CA,CA-32,352859369.47,385753585.22,319569128.25
CA,CA-33,245063.12,106576.00,11139.00
CA,CA-34,12628374.65,11791953.37,13411516.00
CA,CA-35,1578313.47,859113.44,1198644.71
CA,CA-36,160648019.28,174366909.67,231779472.14
CA,CA-37,2779505.65,1346955.57,1875147.38
CA,CA-38,346859.18,61405.02,58220.90
CA,CA-39,2676159.44,1509828.93,1706386.10
CA,CA-40,631364.68,997066.99,1090377.67
CA,CA-41,425912.68,305985.00,3525966.06
CA,CA-42,13096845.00,7404951.00,17703717.81
CA,CA-43,1671146205.16,1283493427.56,1480516817.86
CA,CA-44,4032110.36,3229444.52,4119818.24
CA,CA-45,1684406.30,2300440.20,2139848.91
CA,CA-46,5669966.61,2507780.45,3563819.53
CA,CA-47,11773542.88,12946173.13,25958412.00
CA,CA-48,2488489.91,4023817.00,2984160.00
CA,CA-49,1015860.52,267927.80,1096112.00
CA,CA-50,24708612.06,20177185.91,22848973.73
CA,CA-51,13727144.86,9106062.18,8325283.02
CA,CA-52,-946000.00,1288615.00,1696926.00
CO,CO-01,4715851.26,5585435.59,5152279.41
CO,CO-02,862589382.25,433783124.06,393265504.55
CO,CO-03,356590.00,1739942.00,1035796.00
CO,CO-04,440404084.59,404104110.22,74538499.00
CO,CO-05,1909917.48,2248078.28,1669062.89
CO,CO-06,31220038.47,36693613.43,12218479.69
CO,CO-07,137779141.35,839070143.12,1271580297.02
CO,CO-08,1917614.53,6175363.91,30317134.09
CT,CT-01,15980073.56,21156377.36,9217034.97
CT,CT-02,1699356.15,2336715.39,2520091.29
CT,CT-03,4098294.30,3935554.41,8994654.60
CT,CT-04,4607522.68,1673039.81,1443113.88
CT,CT-05,467868.46,1803871.52,2261766.00
DC,DC-00,198714047.38,200899884.50,189918909.17
DE,DE-00,18175183.44,9988593.61,17551073.34
FL,FL-01,116520100.59,103783468.08,96240366.82
FL,FL-02,5020941.03,6656326.33,4268473.32
FL,FL-03,16754033.75,20466393.02,22042540.53
FL,FL-04,135268.00,-21795.18,0.00
FL,FL-05,-1015017.77,477278.70,462051.17
FL,FL-06,3943256.26,5579407.92,5278815.20
FL,FL-07,792664.59,967083.77,1317040.82
FL,FL-08,1282101721.18,1326403604.98,1356659874.65
FL,FL-09,107658.94,13885.48,75028.92
FL,FL-10,28805056.80,20468370.20,11874519.69
FL,FL-11,72526.64,0.00,136347.72
FL,FL-12,111087.99,0.00,0.00
FL,FL-13,45569.00,267820.00,337201.00
FL,FL-14,1470250.87,859499.95,2121246.58
FL,FL-15,2418786.50,3090142.82,2590657.26
FL,FL-16,61110.90,0.00,0.00
FL,FL-17,111664.60,406566.74,36495.00
FL,FL-18,0.00,0.00,0.00
FL,FL-19,36481.22,25000.00,25000.00
FL,FL-20,3180371.12,2959227.65,728210.84
FL,FL-21,23987578.40,22496251.01,15439993.30
FL,FL-22,15000.00,0.00,61754.00
FL,FL-23,740920.82,488906.69,471189.85
FL,FL-24,0.00,159962.00,83290.08
FL,FL-25,54700.41,87853.04,55619.96
FL,FL-26,3021913.41,1717706.81,1023591.62
FL,FL-27,6993119.09,9891816.09,6208228.52
FL,FL-28,59693.90,209867.92,1362340.74
GA,GA-01,416312.35,122133.25,81162.18
GA,GA-02,90312.96,137209.00,154645.00
GA,GA-03,320.00,160.00,11955.00
GA,GA-04,1670947.76,758926.68,6500034.98
GA,GA-05,19578778.89,18670488.70,23868087.63
GA,GA-06,1882326.40,994000.00,901500.35
